Category,Competition Name,Early Bird Price,Normal Price,Team Count,Description
Business,FinFusion,1550,1850,3-5 Members,"FinFusion is a Financial Analysis Competition where teams analyze a real company’s financials and present their findings.
In Round 2, teams develop and pitch a strategic expansion plan."
Business,Synapse X,1550,1850,3-5 Members,Synapse X forges tomorrow's business leaders by challenging teams to save Nexus Motors—a legacy  automaker—from EV-era bankruptcy using $60M over  eight quarters.
Business,Dolphin's Tank,1250,1550,1-3 Members,"Dolphin's Tank is a 4-hour VC simulation where 3–5 member teams manage a PKR 50M fund, select from 10 startups, adapt after a Market Shock, and defend their portfolio in a 5–8 minute pitch to judges."
Electrical Engineering,Circuit Design,1050,1250,1-2 Members,"This competition challenges students to design,implement and test a digital circuit using fundamental concepts like logic gates,counters and flip-flops etc"
Electrical Engineering,LFR (School & College),1350,1550,2-4 Members,The team has to design a robot to navigate through a path.The primary objective is to accurately follow and complete the path quickly.
Electrical Engineering,LFR (University),1350,1550,2-4 Members,The team has to design a robot to navigate through a path.The primary objective is to accurately follow and complete the path quickly.
Electrical Engineering,Robo Soccer ( School & College),1350,1550,2-4 Members,In this competition the ultimate goal is to secure as many goals as possible.Each team has also defend the goal on its side while score the goal on opposite side
Electrical Engineering,Robo Soccer ( University),1350,1550,2-4 Members,In this competition the ultimate goal is to secure as many goals as possible.Each team has also defend the goal on its side while score the goal on opposite side
Electrical Engineering,Robo Sumo,1350,1550,2-4 Members,In this competition robots compete to push their opponent out of a circular ring similar to traditional japnese sumo wrestling
General,CSI - Crime Scene Investigation,2050,2250,6-7 Members,"A crime scene. A bunch of clues. Zero explanations. Work through the evidence, connect the dots, and crack the case before time runs out. No high-tech forensics required—just sharp eyes, common sense, and a suspicious mind.		"
General,Scavenger Hunt,2050,2550,6-7 Members,"A list. A time limit. A whole venue to explore. Race around hunting down hidden items, solving ridiculous challenges, and snapping photo proof along the way. Team up, split up, or argue about the best route—just get back before the clock hits zero.		"
General,TDM - Team Death Match,1850,2050,4 Members,"Put on your helmets, load your guns, and gear up for the most intense showdown of the event. Team up with your friends and face your opponent in a rough team death match. Be careful and don't get shot! Enter the arena and capture the flag. May the best team emerge victorious 🔥"
General,Rage Room,2350,2650,2-3 Members,"Put on the protective gear, grab a bat, and unleash on a room full of junk. Dishes, electronics, random clutter—it's all going down. The most satisfying 20 minutes of your entire DevDay. Bring your stress. Leave nothing in one piece.		"
General,Karaoke,1050,1250,2-4 Members,"No judging. No eliminations. Just a room full of people singing their hearts out. Belt your favorite tracks solo or drag your friends up for a painfully good duet. Points for enthusiasm, not talent. Come for the songs, stay for the secondhand embarrassment.		"
General,Chess,750,850,1 Member,"Classic chess, pure and simple. Bring your A-game and battle it out over the board. Whether you're a casual player or a club champ, this is your chance to prove who's got the deepest tactics and the coolest head under pressure. No computers, no assists—just you, your opponent, and the clock."
General,Trump,1050,1250,2 Member,"Grab a deck and a couple of friends for the classic trick-taking game that starts arguments and ends friendships. Simple rules, endless mind games. Bid smart, play harder, and take every trick you can. Luck helps. Bluffing helps more."
Core Coding,Competitive Programming,1550,2050,1-3 Members,"Competitive Programming Experience a classic 3-hour ICPC-style contest where participants tackle a series of complex algorithmic problems. Strategy, robust coding, and mathematical logic are key to dominating the leaderboard."
Core Coding,Code Sprint,1050,1550,1-2 Members,"Code Sprint Jump into a fast-paced coding round designed to test your rapid problem-solving abilities under intense pressure. Race against the clock to write clean, efficient code for quick-fire challenges."
Core Coding,Debug Relay,1050,1550,2 Members,Debug Relay Team up for an exciting relay race where speed and keen eyes determine the winner. Pass the baton to your teammates as you race to identify and squash hidden bugs in pre-written code.
AI & Data Science,AI Got Talent,1250,1550,1-3 Members,"The street fight is on and the opponent is relentless, testing every talent your custom ML model has. Outsmart it, survive each attack, and prove that your AI can think faster, act smarter, and endure longer than the rest. One miscalculation, and it’s instant defeat… one wrong move and it’s K.O.!"
AI & Data Science,Today We are VibeCoding,1550,2050,1-3 Members,-
AI & Data Science,Guilty By Data,1250,1550,1-3 Members,"Teams step into the shoes of digital detectives in a high-stakes mystery. The clock is ticking, and secrets are everywhere - sift through hidden datasets, decode patterns, and connect the dots across multiple sources. Spot anomalies, outsmart rival teams, and race to uncover the mastermind before time runs out!"
AI & Data Science,Prompt Prognosis,1250,1850,1-3 Members,"A global superintelligence is crashing, and you are the only engineer with the access to save it. Join a 2-hour descent into its corrupted core where your prompt engineering skills are the final line of defense to restore broken code and shattered visual memories before the system succumbs to the ultimate glitch."
Tech Quest,Recursion Hell: Find the Exit,1250,1550,1-3 Members,"Strange signals from Hawkins hint at disturbances from the Upside Down. In this puzzle-driven challenge, participants must decode hidden clues, uncover patterns, and use logic to progress through a chain of PC-based puzzles. But in Hawkins, progress isn’t always linear—one misstep may send you back through familiar paths. Stay sharp, break the loop, and escape this Recursion Hell."
Tech Quest,Digital Scavenger Hunt,1250,1550,1-3 Members,-
Development & Design,Hackathon,2500,3000,2-4 Members,-
Development & Design,Design Arena,1250,1550,1-3 Members,-
Development & Design,Stack Breach,1250,1550,1-3 Members,"A corruption has infected Hogwarts' magical console — across three phases, teams reconstruct UI components from visual references, hunt down critical full-stack web system bugs, and finally review another team's restored system for hidden flaws in a structured peer evaluation. Only those who fully repair the Stack across all layers will prove their worth before the final council."
Software Engineering,SQL Showdown,1250,1550,1-3 Members,-
Software Engineering,API Blitz,1250,1550,1-3 Members,-
Software Engineering,SysCore,1250,1550,1-3 Members,-
Software Engineering,Class Wars,1250,1550,1-3 Members,-
